annee;code_sexe;sexe;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;etablissement;code_academie;academie;code_region;region;code_pres;PRES;code_idex;IDEX;beneficiaires;geolocalisation
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0311384L;Université Toulouse 3 - Paul Sabatier;16;Toulouse;73;Midi-Pyrénées;0312758E;PRES Université de Toulouse;6;IDEX UNITI;48;43.55708, 1.466079
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0331764N;Université Bordeaux 1 - Sciences technologies;04;Bordeaux;72;Aquitaine;;Hors PRES;;Hors IDEX;27;
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0490970N;Université d'Angers;17;Nantes;52;Pays de la Loire;0442665H;PRES Université Nantes Angers Maine;;Hors IDEX;6;47.47702, -0.54955
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0511296G;Université de Reims - Champagne-Ardenne;19;Reims;21;Champagne-Ardenne;0512141A;PRES Picardie-Champagne;;Hors IDEX;7;49.2559, 4.040127
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0570140T;École nationale d'ingénieurs de Metz;12;Nancy-Metz;41;Lorraine;;Hors PRES;;Hors IDEX;2;49.07041, 6.252364
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0595851P;;09;Lille;31;Nord-Pas-de-Calais;;Hors PRES;;Hors IDEX;1;
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0650048Z;École nationale d'ingénieurs de Tarbes;16;Toulouse;73;Midi-Pyrénées;0312758E;PRES Université de Toulouse;;Hors IDEX;3;43.22481, 0.052689
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0690192J;Institut national des sciences appliquées de Lyon;10;Lyon;82;Rhône-Alpes;0694094A;PRES Université de Lyon;;Hors IDEX;24;45.78241, 4.87777
2006;1;Hommes;3;Sciences;1;Professeurs et assimilés;0761904G;Université de Rouen;21;Rouen;23;Haute-Normandie;0142382N;PRES Normandie Université;;Hors IDEX;14;49.46033, 1.067308
2006;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0331765P;Université Bordeaux 2 - Victor Segalen;04;Bordeaux;72;Aquitaine;;Hors PRES;;Hors IDEX;6;
2006;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0730858L;Université de Chambéry - Savoie;08;Grenoble;82;Rhône-Alpes;0383412C;PRES Université de Grenoble;;Hors IDEX;4;45.56677, 5.917635
2005;2;Femmes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0542493S;Université de Lorraine;12;Nancy-Metz;41;Lorraine;0542471T;PRES Université de Lorraine;;Hors IDEX;4;48.69623, 6.176543
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0341088Y;Université Montpellier 2 - Sciences techniques du Languedoc;11;Montpellier;91;Languedoc-Roussillon;0342255S;PRES Université Montpellier Sud de France;;Hors IDEX;4;43.6315, 3.860602
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0761904G;Université de Rouen;21;Rouen;23;Haute-Normandie;0142382N;PRES Normandie Université;;Hors IDEX;2;49.46033, 1.067308
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0772502B;Université de Marne-la-Vallée;24;Créteil;11;Île-de-France;0772710C;PRES Université Paris Est;;Hors IDEX;2;48.84009, 2.586249
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0311381H;Institut national polytechnique de Toulouse;16;Toulouse;73;Midi-Pyrénées;0312758E;PRES Université de Toulouse;6;IDEX UNITI;2;43.55583, 1.503667
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0331764N;Université Bordeaux 1 - Sciences technologies;04;Bordeaux;72;Aquitaine;;Hors PRES;;Hors IDEX;4;
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0333232J;Bordeaux INP;04;Bordeaux;72;Aquitaine;0333178A;PRES Université de Bordeaux;2;IDEX Bordeaux;1;44.80613, -0.60754
